id,Dept,Commune,Adresse,Date vente,Année construct.,Nb Pièces,Surface terrain(m²),Surface utile(m²),Prix(€),Prix/m²(€) Surface utile
488.0,44.0,NANTES, AV DES ONDES,2021-01-01,1962,5,2 276,88.0,410000,"4659,09"
489.0,44.0,NANTES, AV DU PARADISIER,2021-01-01,1983,5,296,89.0,300000,"3370,79"
490.0,44.0,NANTES, IMP DE LA SYMPHONIE,2021-01-01,1987,5,373,89.0,390000,"4382,02"
491.0,44.0,REZE, AV DES BERGERONNETTES,2021-01-01,1955,5,130,88.0,390000,"4431,82"
492.0,44.0,REZE, RUE DU CHATEAU DE REZE,2021-01-01,1956,5,391,89.0,322560,"3624,27"
493.0,44.0,REZE, B RUE FRANCOIS SORIN,2021-01-01,2019,5,147,88.0,335000,"3806,82"
494.0,44.0,REZE, RUE DE LA GALARNIERE,2021-01-01,2019,4, ,88.0,211900,"2407,95"
495.0,44.0,REZE, RUE DE LA GALARNIERE,2021-01-01,2019,4, ,88.0,206462,"2346,16"
496.0,44.0,ST-HERBLAIN, RUE GASPARD MONGE,2021-01-01,1992,4,310,88.0,301000,"3420,45"
497.0,44.0,ST-HERBLAIN, AV DES PLANTES,2021-01-01,1960,4,348,88.0,300000,"3409,09"
498.0,44.0,ST SEBASTIEN SUR LOIRE, B RUE DE LA GIBRAYE,2021-01-01,1950,4,386,89.0,383570,"4309,78"
499.0,44.0,ST SEBASTIEN SUR LOIRE, RUE DE LA PYRAMIDE,2021-01-01,1984,5,244,88.0,260000,"2954,55"
500.0,44.0,NANTES, RUE A BARBE TORTE,2021-01-01,2001,4, ,90.0,420000,"4666,67"
501.0,44.0,NANTES, RUE A BARBE TORTE,2021-01-01,2001,4, ,90.0,400000,"4444,44"
502.0,44.0,NANTES, RUE ANDRE GABRIEL,2021-01-01,2011,6,113,90.0,420000,"4666,67"
503.0,44.0,NANTES, RUE AREGNAUDEAU,2021-01-01,1963,5,235,90.0,630000,"7000,00"
504.0,44.0,NANTES, AV ARMAND BOUVIER,2021-01-01,1930,3,184,90.0,447546,"4972,73"
505.0,44.0,NANTES, RUE D ARSONVAL,2021-01-01,1938,3,159,90.0,520000,"5777,78"
506.0,44.0,NANTES, RUE BEETHOVEN,2021-01-01,1933,4,166,90.0,525000,"5833,33"
507.0,44.0,NANTES, T RUE DE LA BERAUDIERE,2021-01-01,1971,5,216,89.0,560000,"6292,13"
508.0,44.0,NANTES, T AV BOURGAULT DUCOUDRAY,2021-01-01,1932,4,91,90.0,335000,"3722,22"
509.0,44.0,NANTES, RUE DE CHATEAULIN,2021-01-01,1920,5,141,90.0,510000,"5666,67"
510.0,44.0,NANTES, RUE COLUMELLE,2021-01-01,1920,4,90,90.0,520000,"5777,78"
511.0,44.0,NANTES, RUE DE L ENCHANTERIE,2021-01-01,1964,5,467,89.0,405000,"4550,56"
512.0,44.0,NANTES, AV DES HORTENSIAS,2021-01-01,1900,4,104,90.0,450000,"5000,00"
513.0,44.0,NANTES, RUE LT JEAN DE SESMAISONS,2021-01-01,1965,3,396,90.0,320000,"3555,56"
514.0,44.0,NANTES, RUE DE LA LUNE D'EAU,2021-01-01,2018,4,460,91.0,462135,"5078,41"
515.0,44.0,NANTES, AV MAURICE CLETRAS,2021-01-01,1963,4,438,90.0,215000,"2388,89"
516.0,44.0,NANTES, AV DU PARADISIER,2021-01-01,1983,5,296,89.0,300000,"3370,79"
517.0,44.0,NANTES, RUE DES PAVILLONS,2021-01-01,1900,5,125,91.0,355000,"3901,10"
518.0,44.0,NANTES, IMP DE LA SYMPHONIE,2021-01-01,1987,5,373,89.0,390000,"4382,02"
519.0,44.0,REZE, RUE DE LA BASSE ILE,2021-01-01,1850,4,1 175,90.0,250000,"2777,78"
520.0,44.0,REZE, RUE DU CHATEAU DE REZE,2021-01-01,1956,5,391,89.0,322560,"3624,27"
521.0,44.0,REZE, RUE DE LA CHESNAIE,2021-01-01,1966,5,495,91.0,290000,"3186,81"
522.0,44.0,REZE, RUE DE LA COMMUNE DE ,2021-01-01,1900,4,78,91.0,273000,"3000,00"
523.0,44.0,REZE, RUE JEAN BAPTISTE HAMON,2021-01-01,1963,4,489,90.0,320000,"3555,56"
524.0,44.0,REZE, B ALL DU PARC DES MAHAUDIERES,2021-01-01,2010,4,300,91.0,285000,"3131,87"
525.0,44.0,REZE, IMP DES PELOUEES,2021-01-01,1986,5,333,91.0,340000,"3736,26"
526.0,44.0,REZE, RUE DES PICTONS,2021-01-01,1988,4,156,90.0,288500,"3205,56"
527.0,44.0,ST SEBASTIEN SUR LOIRE, RUE ALEXANDRE FOURNY,2021-01-01,1935,3,309,90.0,410000,"4555,56"
